Athlete ID,Country NOC
1,CHN
2,CHN
3,DEN
4,DEN
5,NED
6,USA
7,USA
8,NED
9,FIN
10,FIN
11,FIN
12,FIN
13,FIN
14,FIN
15,FIN
16,FIN
17,FIN
18,FIN
19,FIN
20,NOR
21,NOR
22,ROU
23,NOR
24,NOR
25,NOR
26,NOR
27,NED
28,NOR
29,NED
30,NED
31,EST
32,NOR
33,FIN
34,FRA
35,NOR
36,NED
37,NOR
38,NOR
39,NOR
40,NOR
41,NOR
42,NOR
43,NOR
44,EST
45,NOR
46,NOR
47,NOR
48,MAR
49,EST
50,EST
51,ESP
52,FRA
53,EGY
54,IRI
55,ESP
56,FRA
57,BUL
58,BUL
59,BUL
60,BUL
61,BUL
62,ITA
63,ESP
64,CHA
65,AZE
66,SUD
67,RUS
68,ARG
69,ESP
70,CUB
71,CUB
72,BLR
73,FRA
74,ARG
75,GRE
76,CMR
77,CMR
78,TUR
79,CHI
80,ESP
81,GRE
82,MEX
83,CHI
84,USA
85,ESP
86,ESP
87,URS
88,URS
89,CHI
90,RUS
91,ITA
92,ITA
93,FRA
94,CHI
95,GRE
96,NCA
97,NCA
98,MEX
99,HUN
100,HUN
101,NGR
102,EGY
103,ITA
104,CHA
105,ALG
106,ITA
107,ITA
108,ITA
109,KUW
110,BRN
111,PAK
112,IRQ
113,IRQ
114,KUW
115,PAK
116,UAR
117,LIB
118,EGY
119,EGY
120,IRQ
121,PAK
122,QAT
123,PAK
124,EGY
125,MAS
126,IRI
127,PAK
128,IRI
129,AZE
130,AZE
131,AZE
132,ITA
133,GER
134,ITA
135,NED
136,ITA
137,ITA
138,IRQ
139,GRE
140,CAN
141,IRL
142,USA
143,AUS
144,RSA
145,USA
146,CAN
147,CAN
148,CAN
149,USA
150,USA
151,USA
152,CAN
153,USA
154,MAR
155,EGY
156,EGY
157,EGY
158,EGY
159,EGY
160,ERI
161,EGY
162,EGY
163,UAR
164,EGY
165,USA
166,TAN
167,FRA
168,KUW
169,JOR
170,EGY
171,EGY
172,EGY
173,SUD
174,UAR
175,EGY
176,UAR
177,EGY
178,SUD
179,SUD
180,EGY
181,EGY
182,EGY
183,UAR
184,EGY
185,EGY
186,UAR
187,EGY
188,EGY
189,SUD
190,EGY
191,EGY
192,EGY
193,EGY
194,UAR
